rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,skin_tone,eye_color,skin_type,hair_color,product_id,brand_name,price_usd
3,0.0,0.833333015,6.0,0.6931471805599453,1.791759469228055,light,brown,dry,brown,P420652,LANEIGE,24.0
1,0.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,light,brown,combination,brown,P420652,LANEIGE,24.0
3,0.0,0.714286029,7.0,1.0986122886681098,1.791759469228055,light,brown,combination,red,P420652,LANEIGE,24.0
4,1.0,0.625,8.0,1.3862943611198906,1.791759469228055,fair,blue,dry,blonde,P420652,LANEIGE,24.0
3,0.0,1.0,4.0,0.0,1.6094379124341003,fair,blue,dry,blonde,P420652,LANEIGE,24.0
5,1.0,1.0,5.0,0.0,1.791759469228055,light,hazel,combination,brown,P420652,LANEIGE,24.0
5,1.0,0.909090996,11.0,0.6931471805599453,2.3978952727983707,fair,blue,dry,blonde,P420652,LANEIGE,24.0
5,1.0,0.400000006,5.0,1.3862943611198906,1.0986122886681098,fair,hazel,combination,brown,P420652,LANEIGE,24.0
3,0.0,0.846153975,13.0,1.0986122886681098,2.4849066497880004,light,hazel,normal,brown,P420652,LANEIGE,24.0
4,1.0,1.0,5.0,0.0,1.791759469228055,lightMedium,brown,combination,black,P420652,LANEIGE,24.0
5,1.0,0.75,4.0,0.6931471805599453,1.3862943611198906,lightMedium,brown,normal,black,P420652,LANEIGE,24.0
5,1.0,0.92592603,27.0,1.0986122886681098,3.258096538021482,mediumTan,brown,combination,black,P420652,LANEIGE,24.0
2,0.0,0.400000006,5.0,1.3862943611198906,1.0986122886681098,light,brown,combination,brown,P420652,LANEIGE,24.0
2,0.0,0.357143015,28.0,2.9444389791664403,2.3978952727983707,lightMedium,blue,normal,brown,P420652,LANEIGE,24.0
3,1.0,0.200000003,35.0,3.367295829986474,2.0794415416798357,fair,green,oily,blonde,P420652,LANEIGE,24.0
3,1.0,0.363635987,11.0,2.0794415416798357,1.6094379124341003,fair,brown,combination,blonde,P420652,LANEIGE,24.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,mediumTan,brown,combination,black,P420652,LANEIGE,24.0
4,1.0,0.5,4.0,1.0986122886681098,1.0986122886681098,light,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,0.75,8.0,1.0986122886681098,1.9459101490553132,light,brown,oily,black,P420652,LANEIGE,24.0
4,1.0,0.800000012,15.0,1.3862943611198906,2.5649493574615367,lightMedium,brown,combination,black,P420652,LANEIGE,24.0
1,0.0,0.25,12.0,2.302585092994046,1.3862943611198906,lightMedium,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,0.714286029,7.0,1.0986122886681098,1.791759469228055,light,brown,oily,brown,P420652,LANEIGE,24.0
3,0.0,1.0,4.0,0.0,1.6094379124341003,light,blue,combination,blonde,P420652,LANEIGE,24.0
5,1.0,0.916666985,12.0,0.6931471805599453,2.4849066497880004,light,brown,combination,brunette,P420652,LANEIGE,24.0
3,0.0,0.300000012,10.0,2.0794415416798357,1.3862943611198906,light,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,1.0,5.0,0.0,1.791759469228055,light,blue,combination,blonde,P420652,LANEIGE,24.0
2,0.0,0.25,8.0,1.9459101490553132,1.0986122886681098,porcelain,green,oily,red,P420652,LANEIGE,24.0
4,1.0,1.0,10.0,0.0,2.3978952727983707,fair,blue,combination,blonde,P420652,LANEIGE,24.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,light,hazel,combination,brown,P420652,LANEIGE,24.0
5,1.0,0.863636017,44.0,1.9459101490553132,3.6635616461296463,lightMedium,hazel,combination,brown,P420652,LANEIGE,24.0
1,0.0,0.555555999,9.0,1.6094379124341003,1.791759469228055,lightMedium,brown,combination,black,P420652,LANEIGE,24.0
1,0.0,0.600000024,5.0,1.0986122886681098,1.3862943611198906,lightMedium,blue,combination,brown,P420652,LANEIGE,24.0
2,0.0,0.25,4.0,1.3862943611198906,0.6931471805599453,light,blue,combination,blonde,P420652,LANEIGE,24.0
5,1.0,0.75,4.0,0.6931471805599453,1.3862943611198906,fair,brown,normal,brown,P420652,LANEIGE,24.0
2,0.0,1.0,5.0,0.0,1.791759469228055,mediumTan,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,mediumTan,brown,combination,brown,P420652,LANEIGE,24.0
3,1.0,1.0,5.0,0.0,1.791759469228055,mediumTan,brown,combination,black,P420652,LANEIGE,24.0
5,1.0,1.0,5.0,0.0,1.791759469228055,medium,brown,dry,black,P420652,LANEIGE,24.0
3,0.0,0.384615004,13.0,2.1972245773362196,1.791759469228055,fair,brown,normal,brown,P420652,LANEIGE,24.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,fair,blue,dry,blonde,P420652,LANEIGE,24.0
1,0.0,0.875,16.0,1.0986122886681098,2.70805020110221,lightMedium,brown,normal,brown,P420652,LANEIGE,24.0
4,1.0,1.0,4.0,0.0,1.6094379124341003,medium,blue,oily,black,P420652,LANEIGE,24.0
2,0.0,0.571429014,21.0,2.302585092994046,2.5649493574615367,fair,brown,dry,brown,P420652,LANEIGE,24.0
5,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,fair,brown,dry,blonde,P420652,LANEIGE,24.0
3,0.0,1.0,5.0,0.0,1.791759469228055,fair,hazel,oily,brown,P420652,LANEIGE,24.0
3,0.0,0.571429014,7.0,1.3862943611198906,1.6094379124341003,tan,brown,oily,black,P420652,LANEIGE,24.0
4,0.0,0.882353008,17.0,1.0986122886681098,2.772588722239781,lightMedium,brown,dry,brown,P420652,LANEIGE,24.0
5,1.0,1.0,5.0,0.0,1.791759469228055,medium,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,1.0,5.0,0.0,1.791759469228055,fair,blue,combination,blonde,P420652,LANEIGE,24.0
5,1.0,0.600000024,5.0,1.0986122886681098,1.3862943611198906,deep,brown,normal,brown,P420652,LANEIGE,24.0
5,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,fair,green,normal,brown,P420652,LANEIGE,24.0
5,1.0,1.0,19.0,0.0,2.995732273553991,mediumTan,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,fair,blue,oily,brown,P420652,LANEIGE,24.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,fair,hazel,combination,auburn,P420652,LANEIGE,24.0
5,1.0,1.0,9.0,0.0,2.302585092994046,lightMedium,green,normal,brown,P420652,LANEIGE,24.0
2,0.0,0.0625,16.0,2.772588722239781,0.6931471805599453,deep,brown,combination,black,P420652,LANEIGE,24.0
5,1.0,0.909090996,22.0,1.0986122886681098,3.044522437723423,fair,brown,oily,brown,P420652,LANEIGE,24.0
5,1.0,0.928570986,14.0,0.6931471805599453,2.6390573296152584,fair,hazel,dry,brown,P420652,LANEIGE,24.0
5,1.0,1.0,9.0,0.0,2.302585092994046,lightMedium,brown,dry,brown,P420652,LANEIGE,24.0
5,1.0,1.0,7.0,0.0,2.0794415416798357,fair,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,fair,brown,dry,brown,P420652,LANEIGE,24.0
1,0.0,0.375,8.0,1.791759469228055,1.3862943611198906,fairLight,green,normal,black,P420652,LANEIGE,24.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,olive,brown,combination,auburn,P420652,LANEIGE,24.0
2,0.0,0.200000003,5.0,1.6094379124341003,0.6931471805599453,fair,green,oily,brown,P420652,LANEIGE,24.0
5,1.0,1.0,6.0,0.0,1.9459101490553132,light,hazel,combination,brown,P420652,LANEIGE,24.0
1,0.0,0.75,4.0,0.6931471805599453,1.3862943611198906,mediumTan,brown,combination,black,P420652,LANEIGE,24.0
2,0.0,0.5,4.0,1.0986122886681098,1.0986122886681098,mediumTan,brown,dry,brown,P420652,LANEIGE,24.0
1,0.0,0.600000024,10.0,1.6094379124341003,1.9459101490553132,light,brown,combination,brown,P420652,LANEIGE,24.0
2,0.0,0.400000006,5.0,1.3862943611198906,1.0986122886681098,fair,brown,dry,brown,P420652,LANEIGE,24.0
5,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,light,hazel,normal,brown,P420652,LANEIGE,24.0
1,0.0,0.86956501,23.0,1.3862943611198906,3.044522437723423,fair,hazel,combination,blonde,P420652,LANEIGE,24.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,light,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,1.0,10.0,0.0,2.3978952727983707,lightMedium,brown,combination,black,P420652,LANEIGE,24.0
2,0.0,1.0,4.0,0.0,1.6094379124341003,fair,brown,combination,brown,P420652,LANEIGE,24.0
2,0.0,0.6875,16.0,1.791759469228055,2.4849066497880004,light,brown,combination,black,P420652,LANEIGE,24.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,fair,brown,oily,brunette,P420652,LANEIGE,24.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,porcelain,blue,combination,blonde,P420652,LANEIGE,24.0
1,0.0,1.0,4.0,0.0,1.6094379124341003,mediumTan,brown,normal,black,P420652,LANEIGE,24.0
1,0.0,0.947368026,19.0,0.6931471805599453,2.9444389791664403,mediumTan,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,1.0,5.0,0.0,1.791759469228055,lightMedium,brown,combination,blonde,P420652,LANEIGE,24.0
4,1.0,0.600000024,5.0,1.0986122886681098,1.3862943611198906,lightMedium,hazel,combination,blonde,P420652,LANEIGE,24.0
5,1.0,0.777778029,9.0,1.0986122886681098,2.0794415416798357,fairLight,green,combination,blonde,P420652,LANEIGE,24.0
2,0.0,0.833333015,6.0,0.6931471805599453,1.791759469228055,fairLight,blue,normal,blonde,P420652,LANEIGE,24.0
5,1.0,0.857142985,7.0,0.6931471805599453,1.9459101490553132,deep,brown,dry,gray,P420652,LANEIGE,24.0
5,1.0,0.833333015,6.0,0.6931471805599453,1.791759469228055,mediumTan,brown,normal,brown,P420652,LANEIGE,24.0
5,1.0,0.903226018,31.0,1.3862943611198906,3.367295829986474,light,brown,combination,blonde,P420652,LANEIGE,24.0
1,0.0,0.8125,32.0,1.9459101490553132,3.295836866004329,light,blue,combination,blonde,P420652,LANEIGE,24.0
5,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,fairLight,green,oily,blonde,P420652,LANEIGE,24.0
1,0.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,mediumTan,hazel,dry,brown,P420652,LANEIGE,24.0
5,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,light,green,dry,black,P420652,LANEIGE,24.0
5,1.0,0.885713995,35.0,1.6094379124341003,3.4657359027997265,fairLight,blue,dry,brown,P420652,LANEIGE,24.0
1,0.0,0.785713971,14.0,1.3862943611198906,2.4849066497880004,light,blue,combination,auburn,P420652,LANEIGE,24.0
5,1.0,0.4375,16.0,2.302585092994046,2.0794415416798357,deep,brown,combination,black,P420652,LANEIGE,24.0
4,1.0,0.666666985,9.0,1.3862943611198906,1.9459101490553132,light,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,0.879999995,100.0,2.5649493574615367,4.48863636973214,light,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,0.75,4.0,0.6931471805599453,1.3862943611198906,light,brown,combination,brown,P420652,LANEIGE,24.0
1,0.0,0.714286029,7.0,1.0986122886681098,1.791759469228055,lightMedium,brown,combination,brown,P7880,fresh,39.0
3,1.0,0.5,6.0,1.3862943611198906,1.3862943611198906,light,brown,combination,blonde,P7880,fresh,39.0
1,0.0,0.888889015,9.0,0.6931471805599453,2.1972245773362196,light,brown,oily,brown,P7880,fresh,39.0
4,1.0,0.866666973,15.0,1.0986122886681098,2.6390573296152584,fairLight,blue,dry,brown,P7880,fresh,39.0
1,0.0,0.315789014,19.0,2.6390573296152584,1.9459101490553132,tan,brown,combination,black,P7880,fresh,39.0
5,1.0,1.0,8.0,0.0,2.1972245773362196,tan,brown,oily,black,P7880,fresh,39.0
1,0.0,0.615384996,13.0,1.791759469228055,2.1972245773362196,lightMedium,green,combination,brown,P7880,fresh,39.0
5,1.0,0.777778029,9.0,1.0986122886681098,2.0794415416798357,deep,brown,oily,brown,P7880,fresh,39.0
5,1.0,1.0,5.0,0.0,1.791759469228055,light,brown,combination,brown,P7880,fresh,39.0
1,1.0,0.888889015,18.0,1.0986122886681098,2.833213344056216,light,brown,combination,brown,P7880,fresh,39.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,light,brown,combination,brown,P7880,fresh,39.0
4,1.0,1.0,9.0,0.0,2.302585092994046,light,brown,normal,brown,P7880,fresh,39.0
3,1.0,0.857142985,7.0,0.6931471805599453,1.9459101490553132,light,brown,combination,brown,P7880,fresh,39.0
4,1.0,0.75,4.0,0.6931471805599453,1.3862943611198906,light,brown,combination,brown,P7880,fresh,39.0
2,1.0,0.25,4.0,1.3862943611198906,0.6931471805599453,light,brown,normal,brown,P7880,fresh,39.0
4,1.0,1.0,11.0,0.0,2.4849066497880004,light,brown,combination,brown,P7880,fresh,39.0
5,1.0,0.5,4.0,1.0986122886681098,1.0986122886681098,light,brown,dry,brown,P7880,fresh,39.0
2,1.0,0.666666985,6.0,1.0986122886681098,1.6094379124341003,light,brown,combination,brown,P7880,fresh,39.0
3,1.0,0.200000003,5.0,1.6094379124341003,0.6931471805599453,fair,brown,combination,brown,P7880,fresh,39.0
2,0.0,0.71052599,38.0,2.4849066497880004,3.332204510175204,light,hazel,dry,brown,P218700,Josie Maran,49.0
2,0.0,0.307691991,13.0,2.302585092994046,1.6094379124341003,fair,green,dry,brown,P218700,Josie Maran,49.0
4,1.0,0.75,4.0,0.6931471805599453,1.3862943611198906,light,brown,normal,brown,P218700,Josie Maran,49.0
5,1.0,1.0,5.0,0.0,1.791759469228055,lightMedium,brown,combination,blonde,P218700,Josie Maran,49.0
1,0.0,0.875,8.0,0.6931471805599453,2.0794415416798357,lightMedium,blue,oily,brown,P218700,Josie Maran,49.0
5,1.0,0.777778029,9.0,1.0986122886681098,2.0794415416798357,fair,green,oily,blonde,P218700,Josie Maran,49.0
2,1.0,1.0,10.0,0.0,2.3978952727983707,light,brown,combination,brown,P218700,Josie Maran,49.0
1,1.0,0.375,8.0,1.791759469228055,1.3862943611198906,light,brown,combination,brown,P218700,Josie Maran,49.0
5,1.0,1.0,5.0,0.0,1.791759469228055,light,brown,combination,brown,P218700,Josie Maran,49.0
5,1.0,0.75,4.0,0.6931471805599453,1.3862943611198906,light,brown,combination,brown,P218700,Josie Maran,49.0
5,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,light,brown,combination,brown,P218700,Josie Maran,49.0
5,1.0,0.875,8.0,0.6931471805599453,2.0794415416798357,light,brown,combination,brown,P218700,Josie Maran,49.0
1,1.0,1.0,5.0,0.0,1.791759469228055,light,brown,combination,brown,P218700,Josie Maran,49.0
1,1.0,1.0,4.0,0.0,1.6094379124341003,light,brown,combination,brown,P218700,Josie Maran,49.0
1,1.0,0.125,8.0,2.0794415416798357,0.6931471805599453,light,brown,combination,brown,P218700,Josie Maran,49.0
1,1.0,0.0,4.0,1.6094379124341003,0.0,light,brown,combination,brown,P218700,Josie Maran,49.0
1,1.0,0.666666985,12.0,1.6094379124341003,2.1972245773362196,light,brown,combination,brown,P218700,Josie Maran,49.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,light,brown,combination,brown,P218700,Josie Maran,49.0
5,1.0,1.0,6.0,0.0,1.9459101490553132,light,brown,combination,brown,P218700,Josie Maran,49.0
4,1.0,1.0,9.0,0.0,2.302585092994046,light,brown,combination,brown,P218700,Josie Maran,49.0
2,1.0,0.142857,7.0,1.9459101490553132,0.6931471805599453,light,brown,combination,brown,P218700,Josie Maran,49.0
5,1.0,1.0,15.0,0.0,2.772588722239781,light,brown,combination,brown,P218700,Josie Maran,49.0
5,1.0,0.833333015,6.0,0.6931471805599453,1.791759469228055,light,brown,combination,brown,P218700,Josie Maran,49.0
2,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,light,brown,combination,brown,P218700,Josie Maran,49.0
5,1.0,1.0,15.0,0.0,2.772588722239781,light,brown,combination,brown,P218700,Josie Maran,49.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,light,brown,normal,brown,P218700,Josie Maran,49.0
5,1.0,0.5,4.0,1.0986122886681098,1.0986122886681098,light,brown,combination,brown,P218700,Josie Maran,49.0
1,1.0,0.588235021,17.0,2.0794415416798357,2.3978952727983707,fair,brown,oily,brown,P218700,Josie Maran,49.0
5,1.0,0.833333015,6.0,0.6931471805599453,1.791759469228055,lightMedium,brown,normal,brown,P218700,Josie Maran,49.0
5,1.0,1.0,5.0,0.0,1.791759469228055,light,blue,combination,brown,P248407,First Aid Beauty,38.0
