product_id,brand_name,loves_count,rating,price_usd,limited_edition,new,online_only,out_of_stock,sephora_exclusive,child_count,ing_acid,ing_alcohol,ing_ci,ing_extract,ing_glycol,ing_leaf,ing_oil,ing_seed,ing_sodium,ing_water,"hl_ Choice Award Winner"", ","hl_ Choice Award Winner: Original Foundation bareMinerals"", ","hl_, ",hl_AHA/Glycolic Acid,hl_Alcohol Free,hl_All Hair Types,hl_Best for Combination Skin,hl_Best for Dry Skin,"hl_Best for Dry, Combo, Normal Skin",hl_Best for Normal Skin,hl_Best for Oily Skin,"hl_Best for Oily, Combo, Normal Skin",hl_Black Owned at Sephora,hl_CBD,hl_Clean + Planet Positive,hl_Clean at Sephora,hl_Coily Hair,hl_Collagen,hl_Community Favorite,hl_Cream Formula,hl_Cruelty-Free,hl_Curl-Enhancing,hl_Curling,hl_Curly Hair,hl_Customizable,hl_Floral Scent,hl_Fragrance Free,hl_Fresh Scent,hl_Full Coverage,hl_Gluten Free,hl_Good for: Acne/Blemishes,hl_Good for: Anti-Aging,hl_Good for: Color Care,hl_Good for: Damage,hl_Good for: Dark Circles,hl_Good for: Dark spots,hl_Good for: Dryness,hl_Good for: Dullness/Uneven Texture,hl_Good for: Flaky/Dry Scalp,hl_Good for: Frizz,hl_Good for: Hair Thinning,hl_Good for: Loss of firmness,hl_Good for: Oily Scalp,hl_Good for: Pores,hl_Good for: Redness,hl_Good for: Volume,hl_Heat Protection,hl_High Shine Finish,hl_Hyaluronic Acid,hl_Hydrating,hl_Hypoallergenic,hl_Increases Shine,hl_Lactic Acid,hl_Layerable Scent,hl_Lengthening,hl_Light Coverage,hl_Light Hold,hl_Liquid Formula,hl_Long-wearing,hl_Loose Powder Formula,hl_Matte Finish,hl_Medium Coverage,hl_Medium Hold,hl_Metallic Finish,hl_Natural Finish,hl_Niacinamide,hl_Oil Free,hl_Plumping,hl_Pressed Powder Formula,hl_Prevents Color Fading,hl_Radiant Finish,hl_Recyclable Packaging,hl_Reduces Brassiness,hl_Reef Safe SPF,hl_Refill Available,hl_Retinol,hl_SPF,hl_Salicylic Acid,hl_Satin Finish,hl_Shimmer Finish,hl_Stick Formula,hl_Straight Hair,hl_Strong Hold,hl_Sustainable Packaging,hl_UV Protection,hl_Unisex/ Genderless Scent,hl_Vegan,hl_Vitamin C,hl_Volumizing,hl_Warm &Spicy Scent,hl_Waterproof,hl_Wavy Hair,hl_Without Formaldehyde-Releasing Agents,hl_Without Formaldehydes,hl_Without Mineral Oil,hl_Without Oxybenzone,hl_Without Parabens,hl_Without Phthalates,hl_Without Retinyl Palmitate,hl_Without Silicones,hl_Without Sulfates SLS & SLES,hl_Without Triclocarban,hl_Without Triclosan,hl_Woody & Earthy Scent,hl_allure 2017 Best of Beauty Award Winner,hl_allure 2018 Best of Beauty Award Winner,hl_allure 2019 Best of Beauty Award Winner,hl_allure 2019: Clean Beauty Winner,hl_allure 2020 Best of Beauty Award Winner,hl_allure 2021 Best of Beauty Award Winner,hl_allure 2021: Clean Beauty Winner,hl_allure 2022 Best of Beauty Award Winner,hl_allure 2022 Clean Beauty Winner,cat_Bath & Body,cat_Fragrance,cat_Hair,cat_Makeup,cat_Men,cat_Mini Size,cat_Skincare,cat_Tools & Brushes
P473671,0,8.751632702472298,3.6364,35.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P473668,0,8.250097752572845,4.1538,195.0,0,0,1,0,0,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P473662,0,8.087640287778983,4.25,195.0,0,0,1,0,0,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P473660,0,8.012680929706839,4.4762,195.0,0,0,1,0,0,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P473658,0,7.898039690764619,3.2308,195.0,0,0,1,0,0,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P473661,0,7.803435056952168,4.4762,30.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P473659,0,7.390181428226429,3.2308,30.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P473666,0,7.341483852363161,3.625,195.0,0,0,1,0,0,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
P472300,0,7.341483852363161,3.5714,195.0,0,0,1,0,0,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P473667,0,7.228388451573604,3.625,30.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
