rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,skin_tone,eye_color,skin_type,hair_color,product_id,brand_name,price_usd
5,1.0,1.0,2,0,2,2/1/2023,,brown,dry,black,P504322,NUDESTIX,19.0
1,0.0,1.0,3,0,3,3/12/2023,fair,brown,normal,brown,P420652,LANEIGE,24.0
5,1.0,1.0,1,0,1,3/7/2023,medium,brown,dry,black,P420652,LANEIGE,24.0
5,1.0,,0,0,0,3/2/2023,,green,combination,blonde,P420652,LANEIGE,24.0
4,1.0,1.0,2,0,2,2/26/2023,light,brown,normal,brown,P420652,LANEIGE,24.0
5,1.0,1.0,2,0,2,2/21/2023,light,brown,combination,brown,P420652,LANEIGE,24.0
3,1.0,0.5,2,1,1,2/16/2023,,,,,P420652,LANEIGE,24.0
5,1.0,0.666666985,3,1,2,2/10/2023,light,brown,normal,,P420652,LANEIGE,24.0
5,1.0,,0,0,0,2/5/2023,fair,brown,combination,red,P420652,LANEIGE,24.0
3,0.0,0.833333015,6,1,5,2/1/2023,light,brown,dry,brown,P420652,LANEIGE,24.0
1,0.0,0.800000012,5,1,4,1/29/2023,,,,,P420652,LANEIGE,24.0
4,1.0,1.0,2,0,2,1/25/2023,lightMedium,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,,0,0,0,1/21/2023,,,combination,blonde,P420652,LANEIGE,24.0
4,1.0,,0,0,0,1/15/2023,,,,,P420652,LANEIGE,24.0
5,1.0,1.0,2,0,2,1/9/2023,lightMedium,,combination,,P420652,LANEIGE,24.0
3,0.0,0.714286029,7,2,5,12/31/2022,,brown,combination,red,P420652,LANEIGE,24.0
4,1.0,0.625,8,3,5,12/23/2022,fair,blue,dry,blonde,P420652,LANEIGE,24.0
3,0.0,1.0,4,0,4,12/11/2022,fair,blue,dry,blonde,P420652,LANEIGE,24.0
5,1.0,1.0,5,0,5,11/29/2022,light,hazel,combination,,P420652,LANEIGE,24.0
5,1.0,0.909090996,11,1,10,11/17/2022,fair,blue,dry,blonde,P420652,LANEIGE,24.0
4,1.0,0.5,2,1,1,11/6/2022,,,,,P420652,LANEIGE,24.0
5,1.0,1.0,1,0,1,10/26/2022,,,oily,red,P420652,LANEIGE,24.0
5,1.0,0.400000006,5,3,2,10/14/2022,fair,hazel,combination,,P420652,LANEIGE,24.0
3,0.0,0.846153975,13,2,11,9/30/2022,light,hazel,normal,brown,P420652,LANEIGE,24.0
4,1.0,1.0,5,0,5,9/22/2022,lightMedium,brown,combination,black,P420652,LANEIGE,24.0
5,1.0,1.0,3,0,3,9/14/2022,mediumTan,brown,combination,brown,P420652,LANEIGE,24.0
5,1.0,0.0,2,2,0,9/4/2022,lightMedium,hazel,combination,blonde,P420652,LANEIGE,24.0
5,1.0,,0,0,0,8/24/2022,light,,combination,,P420652,LANEIGE,24.0
5,1.0,0.5,2,1,1,8/14/2022,light,blue,combination,blonde,P420652,LANEIGE,24.0
4,1.0,0.5,2,1,1,8/7/2022,fair,hazel,dry,blonde,P420652,LANEIGE,24.0
5,1.0,1.0,2,0,2,7/30/2022,lightMedium,brown,normal,black,P420652,LANEIGE,24.0
5,1.0,0.666666985,3,1,2,7/22/2022,light,green,combination,brown,P420652,LANEIGE,24.0
5,1.0,0.75,4,1,3,7/14/2022,lightMedium,brown,normal,black,P420652,LANEIGE,24.0
5,1.0,,0,0,0,7/8/2022,medium,brown,combination,black,P420652,LANEIGE,24.0
5,1.0,0.92592603,27,2,25,6/29/2022,mediumTan,brown,combination,black,P420652,LANEIGE,24.0
2,0.0,0.400000006,5,3,2,6/17/2022,,,,,P420652,LANEIGE,24.0
5,1.0,,0,0,0,6/5/2022,light,,combination,,P420652,LANEIGE,24.0
5,1.0,,0,0,0,5/22/2022,lightMedium,brown,combination,brown,P420652,LANEIGE,24.0
4,1.0,1.0,3,0,3,5/10/2022,medium,blue,dry,brown,P420652,LANEIGE,24.0
2,0.0,0.357143015,28,18,10,5/1/2022,lightMedium,blue,normal,brown,P420652,LANEIGE,24.0
